Timestamp,curr_course,curr_prog,demo_age,demo_gender,demo_race,rate_interest,interest_webdev,interest_cybersec,interest_appdev,interest_analytics,interest_ml_ai,interest_programming,interest_game_design,interest_hardware,hear_website,hear_social_media,hear_comm_event,hear_fam_mem,hear_curr_student,hear_alumni,hear_hs_teacher,hear_hs_counselor,hear_in_app_ad,hear_employer,hear_billboard,hear_tv,hear_radio,hear_mailer,hear_other,motiv_keep_current,motiv_curiosity,motiv_enrichment,motiv_career_adv,motiv_career_change,motiv_pro_dev,motiv_job_disp,motiv_financial,motiv_relocation,motiv_it_cert,motiv_req_class,exp_ms_hs_comp_class,exp_ms_hs_comp_club,exp_competitions,exp_afterschool_prog,exp_summer_prog,exp_ap_class,exp_dual_enrollment_class,exp_fam_friend_influence,exp_fam_friend_in_comp,exp_hs_teacher_counselor,exp_emp_influence,exp_ccm_faculty,exp_ccm_advisor
2022-10-05 17:10:40,CMP 135 Computer Concepts with Applications,Criminal Justice,19-20,Man,Hispanic or Latino,3,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact
2022-10-05 17:10:52,CMP 135 Computer Concepts with Applications,Radiography,35-64,Man,Black/African American,5,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-05 17:11:21,CMP 135 Computer Concepts with Applications,Not in a degree program,21-24,Man,White/Caucasian,4,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-05 17:15:07,CMP 101 Computer Information Literacy,Biology,18 and younger,Woman,Multi-Racial,3,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-05 17:19:27,CMP 135 Computer Concepts with Applications,Not in a degree program,19-20,Man,White/Caucasian,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact
2022-10-05 17:44:25,CMP 126 Computer Technology and Applications,Liberal Arts,18 and younger,Man,Black/African American,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact
2022-10-05 18:20:58,CMP 135 Computer Concepts with Applications,Radiography,21-24,Man,Hispanic or Latino,3,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Don't recall,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 08:42:57,CMP 135 Computer Concepts with Applications,Radiography,25-34,Man,Multi-Racial,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 08:52:49,CMP 135 Computer Concepts with Applications,Education,19-20,Woman,White/Caucasian,3,Yes,No,No,No,No,No,No,No,Don't recall,Yes,No,Yes,No,No,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Yes,Don't recall,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No response,No response,No response,No response,No response,No response,No response,Some Impact,Some Impact,No response,No response,No response,No response
2022-10-06 08:56:32,CMP 135 Computer Concepts with Applications,Criminal Justice,19-20,Woman,White/Caucasian,3,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 08:59:52,CMP 135 Computer Concepts with Applications,Education,19-20,Woman,White/Caucasian,2,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:02:34,CMP 135 Computer Concepts with Applications,Education,19-20,Woman,White/Caucasian,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:48:13,CMP 135 Computer Concepts with Applications,Nursing,19-20,Woman,White/Caucasian,3,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:48:13,CMP 135 Computer Concepts with Applications,Radiography,25-34,Man,Multi-Racial,3,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:49:41,CMP 135 Computer Concepts with Applications,Education,19-20,Woman,White/Caucasian,3,Yes,No,No,No,No,No,No,No,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Some Impact,No response,No response,No response,No response,No response,No response,No response,No response,No response,No response,No response,No response
2022-10-06 09:49:43,CMP 135 Computer Concepts with Applications,Criminal Justice,19-20,Man,White/Caucasian,3,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:50:09,CMP 135 Computer Concepts with Applications,Criminal Justice,19-20,Man,Hispanic or Latino,3,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Don't recall,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:50:10,CMP 101 Computer Information Literacy,Radiography,19-20,Woman,White/Caucasian,3,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact
2022-10-06 09:50:29,CMP 135 Computer Concepts with Applications,Exercise Science,19-20,Man,Hispanic or Latino,3,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:50:30,CMP 135 Computer Concepts with Applications,Music Technology,25-34,Man,Black/African American,3,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact
2022-10-06 09:51:06,CMP 135 Computer Concepts with Applications,Radiography,21-24,Woman,Asian,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact
2022-10-06 09:51:10,CMP 135 Computer Concepts with Applications,Radiography,21-24,Man,Hispanic or Latino,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No response,No response,No response,No response,No response,No response,No response,No response,No response,No response,No response,No response,No response
2022-10-06 09:51:20,CMP 135 Computer Concepts with Applications,Exercise Science,21-24,Man,Multi-Racial,1,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:51:35,CMP 135 Computer Concepts with Applications,Liberal Arts,19-20,Woman,Hispanic or Latino,3,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:52:26,CMP 135 Computer Concepts with Applications,Exercise Science,19-20,Woman,Hispanic or Latino,3,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:53:08,CMP 135 Computer Concepts with Applications,Criminal Justice,25-34,Man,White/Caucasian,2,No,Yes,No,No,Yes,No,Yes,No,Yes,Don't recall,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:53:28,CMP 135 Computer Concepts with Applications,Criminal Justice,18 and younger,Woman,Multi-Racial,3,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact
2022-10-06 09:54:19,CMP 101 Computer Information Literacy,Exercise Science,18 and younger,Man,Hispanic or Latino,3,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact
